TIMESTAMP;WEBSITE;GDS;DEPARTURE;ARRIVAL;ADULTS;CHILDREN;INFANTS;TRAIN;DISTANCE;SMS;EXTRA_BAGGAGE;NO_GDS;DEVICE_COMPUTER;DEVICE_OTHER;DEVICE_SMARTPHONE;DEVICE_TABLET;HAUL_TYPE_CONTINENTAL;HAUL_TYPE_DOMESTIC;HAUL_TYPE_INTERCONTINENTAL;TRIP_TYPE_MULTI_DESTINATION;TRIP_TYPE_ONE_WAY;TRIP_TYPE_ROUND_TRIP;PRODUCT
26;11;1;29;30;1;0;0;False;628.844;True;False;0;0;0;0;1;0;1;0;0;0;1;1
26;18;0;30;30;1;0;0;False;1281.43;False;False;1;0;0;1;0;1;0;0;0;1;0;1
26;54;2;30;33;1;0;0;False;1730.35;True;False;0;0;0;0;1;1;0;0;0;0;1;1
26;50;0;30;31;1;0;0;False;652.702;False;False;2;0;0;1;0;0;1;0;1;0;0;1
26;11;0;32;32;1;0;0;False;1717.85;False;False;1;1;0;0;0;1;0;0;0;1;0;1
26;12;1;27;29;1;0;0;False;1065.56;False;False;1;1;0;0;0;1;0;0;1;0;0;1
26;11;1;32;32;2;0;0;False;959.105;True;False;0;1;0;0;0;1;0;0;0;1;0;1
26;11;1;29;30;2;0;0;False;1469.85;False;False;0;1;0;0;0;1;0;0;0;0;1;1
26;42;1;33;33;1;0;0;False;600.931;True;True;0;1;0;0;0;1;0;0;0;1;0;1
26;54;0;33;34;1;0;0;False;3024.02;False;False;2;0;0;1;0;1;0;0;0;0;1;1
26;45;0;42;42;1;0;0;False;1839.53;False;False;1;0;0;1;0;1;0;0;0;1;0;1
26;37;1;30;31;1;0;0;False;1037.7;True;False;0;1;0;0;0;1;0;0;0;0;1;1
26;0;1;28;29;2;0;0;False;342.82199999999995;True;True;1;0;0;1;0;1;0;0;0;0;1;1
26;11;1;36;36;1;0;0;False;10084.6;True;False;0;1;0;0;0;0;0;1;0;1;0;1
26;32;1;31;36;1;0;0;False;1725.36;False;True;0;1;0;0;0;1;0;0;0;0;1;1
26;45;1;50;4;1;0;0;False;9634.9;True;False;0;1;0;0;0;0;0;1;0;0;1;1
26;11;0;30;30;1;0;0;False;2458.34;True;False;1;0;0;1;0;1;0;0;0;1;0;1
26;12;1;27;28;1;0;0;False;922.118;True;False;0;1;0;0;0;1;0;0;0;0;1;1
26;13;1;28;28;1;0;0;False;975.9839999999999;True;True;0;1;0;0;0;1;0;0;0;1;0;1
26;47;1;31;34;1;0;0;False;8290.05;True;False;1;1;0;0;0;0;0;1;0;0;1;1
26;32;1;27;27;1;0;0;False;1829.63;True;False;0;0;0;1;0;0;1;0;0;1;0;1
26;12;1;28;29;2;0;0;False;494.236;False;False;0;1;0;0;0;0;1;0;0;0;1;1
26;11;0;27;27;1;0;0;False;810.4;True;False;1;1;0;0;0;1;0;0;0;1;0;1
26;12;0;37;38;9;0;0;False;657.1160000000001;False;False;1;1;0;0;0;1;0;0;0;0;1;0
26;2;0;38;39;2;0;0;False;1607.99;True;True;1;1;0;0;0;0;1;0;0;0;1;1
26;11;1;26;26;1;0;0;False;1108.92;True;False;0;0;0;1;0;1;0;0;0;1;0;1
26;2;0;32;32;1;0;0;False;470.906;True;False;1;1;0;0;0;0;1;0;0;0;1;1
26;47;1;27;27;1;0;0;False;590.126;True;False;1;1;0;0;0;1;0;0;0;0;1;1
26;32;1;31;32;1;0;0;False;2801.98;False;False;0;1;0;0;0;0;1;0;0;0;1;1
26;31;0;29;31;1;0;0;False;1822.76;True;False;1;1;0;0;0;1;0;0;0;0;1;1
26;45;1;28;29;1;0;0;False;600.7819999999999;False;False;0;1;0;0;0;0;1;0;0;0;1;1
26;21;0;33;33;1;0;0;False;1302.29;True;True;1;1;0;0;0;1;0;0;0;1;0;1
26;31;0;34;35;1;0;0;False;1607.83;False;True;1;0;0;1;0;1;0;0;0;0;1;1
26;47;1;28;29;1;0;0;False;1337.54;True;False;0;0;0;0;1;1;0;0;0;0;1;1
26;18;0;31;32;2;0;0;False;1016.2;False;False;1;1;0;0;0;1;0;0;0;0;1;1
26;11;1;27;27;1;0;0;False;525.02;False;False;0;1;0;0;0;0;1;0;0;0;1;1
26;45;1;34;34;2;0;0;False;744.446;True;True;0;1;0;0;0;1;0;0;0;0;1;1
26;45;0;31;31;1;0;0;False;468.285;True;False;1;1;0;0;0;0;1;0;0;1;0;1
26;11;0;31;31;2;0;0;False;719.6060000000001;True;False;1;1;0;0;0;1;0;0;0;1;0;1
26;37;1;31;34;2;0;0;False;8190.98;True;False;0;0;0;1;0;0;0;1;0;0;1;1
26;18;0;27;28;2;0;0;False;870.387;False;False;1;1;0;0;0;0;1;0;0;0;1;1
26;45;1;28;30;1;0;0;False;6228.21;False;False;1;1;0;0;0;0;0;1;0;0;1;1
26;18;0;29;30;2;0;0;False;1623.73;False;False;2;1;0;0;0;1;0;0;0;0;1;0
26;39;1;26;26;1;0;0;False;5386.52;False;True;0;1;0;0;0;0;0;1;0;1;0;1
26;18;1;27;27;1;0;0;False;2364.9;False;False;0;1;0;0;0;1;0;0;0;1;0;1
26;34;1;27;29;3;1;0;False;1283.52;False;False;0;1;0;0;0;1;0;0;0;0;1;1
26;37;1;31;33;1;0;0;False;6472.0;False;False;0;1;0;0;0;0;0;1;0;0;1;1
26;6;1;33;33;2;0;0;False;8590.24;True;False;0;1;0;0;0;1;0;0;0;0;1;1
26;31;0;28;29;1;0;0;False;2971.28;False;False;1;0;0;1;0;1;0;0;0;0;1;1
26;45;1;26;27;1;0;0;False;141.347;False;False;0;1;0;0;0;0;1;0;0;0;1;1
26;37;0;34;35;2;0;0;False;1326.4;True;False;2;1;0;0;0;1;0;0;0;0;1;1
26;11;0;32;32;3;0;0;False;1964.75;False;False;1;1;0;0;0;1;0;0;0;1;0;1
26;11;0;40;44;1;0;0;False;1344.85;False;True;1;1;0;0;0;1;0;0;0;0;1;1
26;18;0;33;34;2;0;0;False;657.1160000000001;False;False;1;0;0;1;0;1;0;0;0;0;1;1
26;47;0;28;28;1;0;0;False;906.24;False;False;1;1;0;0;0;1;0;0;0;1;0;1
26;54;0;27;27;1;0;0;False;2408.15;True;True;1;0;0;0;1;1;0;0;0;1;0;1
26;11;1;31;33;1;0;0;False;12570.5;False;False;0;1;0;0;0;0;0;1;0;0;1;1
26;45;1;37;38;1;0;0;False;682.118;False;False;0;1;0;0;0;1;0;0;0;0;1;1
26;4;0;27;27;3;0;0;False;399.939;True;False;1;1;0;0;0;1;0;0;0;0;1;1
26;37;0;27;30;1;0;0;False;1453.92;False;False;2;0;0;1;0;1;0;0;0;0;1;1
26;37;1;31;33;2;0;0;False;574.2919999999999;True;True;0;1;0;0;0;0;1;0;0;0;1;1
26;11;1;29;31;1;0;0;False;3545.25;True;False;0;0;0;1;0;0;0;1;0;0;1;1
26;45;0;32;34;2;0;0;False;2148.39;False;True;1;0;0;1;0;0;0;1;0;0;1;1
26;32;1;31;33;2;0;0;False;8851.14;True;False;0;1;0;0;0;0;0;1;0;0;1;1
26;45;0;33;34;2;0;0;False;809.576;True;True;1;0;0;0;1;1;0;0;0;0;1;1
26;12;1;44;45;2;1;0;False;1488.86;False;False;1;1;0;0;0;1;0;0;0;0;1;1
26;45;1;29;31;1;0;0;False;1215.71;False;True;1;0;0;1;0;1;0;0;0;0;1;1
26;37;1;44;50;1;0;0;False;3851.0;True;False;0;1;0;0;0;0;0;1;0;0;1;1
26;47;1;27;27;1;0;0;False;1408.22;True;False;0;0;0;1;0;0;0;1;0;1;0;1
26;47;0;28;29;1;0;0;False;796.7410000000001;False;False;1;1;0;0;0;1;0;0;0;0;1;1
26;37;1;37;37;1;0;0;False;792.48;True;False;0;1;0;0;0;1;0;0;0;1;0;1
26;26;0;33;33;3;0;0;False;269.808;True;False;1;1;0;0;0;0;1;0;0;1;0;1
26;54;0;22;24;2;0;0;False;1687.27;False;True;1;0;0;1;0;1;0;0;0;0;1;1
26;47;0;27;27;1;0;0;False;728.421;True;False;1;1;0;0;0;0;1;0;0;1;0;1
26;21;1;26;26;1;0;0;False;768.2589999999999;True;False;0;0;0;1;0;0;1;0;0;1;0;1
26;37;1;26;28;1;0;0;False;1339.68;True;False;0;0;0;1;0;0;0;1;0;0;1;1
26;11;0;29;29;1;2;0;False;680.6560000000001;True;False;1;1;0;0;0;0;1;0;0;1;0;1
26;11;1;26;26;1;0;0;False;456.815;True;False;0;0;0;1;0;0;1;0;0;1;0;1
26;26;1;27;30;1;0;0;False;1206.63;False;False;0;0;0;1;0;1;0;0;0;1;0;1
26;11;1;26;26;1;0;0;False;1316.11;True;True;0;0;0;1;0;1;0;0;0;1;0;1
26;18;1;45;45;1;0;0;False;179.799;False;False;0;1;0;0;0;0;1;0;0;0;1;1
26;26;0;43;44;1;0;0;False;1978.03;False;False;1;0;0;1;0;1;0;0;0;0;1;1
26;47;1;27;27;1;0;0;False;1330.96;True;False;0;1;0;0;0;1;0;0;0;1;0;1
26;49;2;28;29;1;0;0;False;6834.66;False;False;0;1;0;0;0;0;0;1;0;0;1;1
26;26;0;45;45;1;0;0;False;436.115;False;False;1;1;0;0;0;1;0;0;0;0;1;1
26;45;0;27;27;1;0;0;False;644.319;True;False;1;1;0;0;0;1;0;0;0;0;1;1
26;45;1;31;31;2;0;0;False;853.3810000000001;False;False;0;1;0;0;0;1;0;0;0;0;1;1
26;32;0;30;31;1;0;0;False;1622.31;True;False;1;0;0;1;0;0;1;0;0;0;1;1
26;37;1;43;45;1;0;0;False;2162.43;False;False;0;1;0;0;0;1;0;0;0;0;1;1
26;37;1;28;33;2;0;0;False;10440.8;False;False;0;1;0;0;0;0;0;1;0;0;1;1
26;37;1;29;29;2;2;1;False;2236.54;False;False;0;0;0;1;0;0;0;1;0;1;0;1
26;32;0;29;30;2;0;0;False;1384.96;True;False;1;1;0;0;0;0;1;0;0;0;1;1
26;11;0;34;34;2;0;0;False;1383.75;True;False;1;0;0;1;0;1;0;0;0;1;0;1
26;12;0;31;31;1;0;0;False;907.066;False;True;1;1;0;0;0;1;0;0;0;1;0;1
26;54;1;27;27;1;0;0;False;2924.3;False;False;1;1;0;0;0;1;0;0;1;0;0;1
26;26;0;28;28;1;0;0;False;1246.35;True;False;2;1;0;0;0;1;0;0;0;0;1;1
26;45;0;37;38;2;0;0;False;1342.25;False;True;1;0;0;1;0;1;0;0;0;0;1;1
26;37;1;27;29;1;0;0;False;1753.88;False;False;1;1;0;0;0;0;0;1;1;0;0;1
26;31;1;32;35;1;1;0;False;2611.92;False;False;1;0;0;1;0;0;0;1;0;0;1;1
