TIMESTAMP;WEBSITE;GDS;DEPARTURE;ARRIVAL;ADULTS;CHILDREN;INFANTS;TRAIN;HAUL_TYPE;DISTANCE;DEVICE;TRIP_TYPE;PRODUCT;SMS;EXTRA_BAGGAGE;NO_GDS;TRIP_DAYS;PLANNING_DAYS;WEEKEND_DAYS;DURATION;CUSTOM_TRIP_TYPE
26;11;1;29;30;1;0;0;False;1;628.844;3;2;1;True;False;0;3;21;2;0;0
26;18;0;30;30;1;0;0;False;0;1281.43;2;1;1;False;False;1;0;28;1;1;0
26;54;2;30;33;1;0;0;False;0;1730.35;3;2;1;True;False;0;21;28;7;1;0
26;50;0;30;31;1;0;0;False;1;652.702;2;0;1;False;False;2;11;23;2;0;0
26;11;0;32;32;1;0;0;False;0;1717.85;0;1;1;False;False;1;0;41;0;1;0
26;12;1;27;29;1;0;0;False;0;1065.56;0;0;1;False;False;1;8;8;3;1;0
26;11;1;32;32;2;0;0;False;0;959.105;0;1;1;True;False;0;0;43;1;1;0
26;11;1;29;30;2;0;0;False;0;1469.85;0;2;1;False;False;0;7;17;2;1;0
26;42;1;33;33;1;0;0;False;0;600.931;0;1;1;True;True;0;0;46;0;0;0
26;54;0;33;34;1;0;0;False;0;3024.02;2;2;1;False;False;2;8;44;2;1;0
26;45;0;42;42;1;0;0;False;0;1839.53;2;1;1;False;False;1;0;113;1;1;0
26;37;1;30;31;1;0;0;False;0;1037.7;0;2;1;True;False;0;8;26;2;1;0
26;0;1;28;29;2;0;0;False;0;342.82199999999995;2;2;1;True;True;1;3;15;1;0;0
26;11;1;36;36;1;0;0;False;2;10084.6;0;1;1;True;False;0;0;70;1;3;0
26;32;1;31;36;1;0;0;False;0;1725.36;0;2;1;False;True;0;34;34;10;1;0
26;45;1;50;4;1;0;0;False;2;9634.9;0;2;1;True;False;0;45;167;14;3;0
26;11;0;30;30;1;0;0;False;0;2458.34;2;1;1;True;False;1;0;24;0;1;0
26;12;1;27;28;1;0;0;False;0;922.118;0;2;1;True;False;0;3;6;2;1;0
26;13;1;28;28;1;0;0;False;0;975.984;0;1;1;True;True;0;0;15;1;1;0
26;47;1;31;34;1;0;0;False;2;8290.05;0;2;1;True;False;1;23;32;6;3;0
26;32;1;27;27;1;0;0;False;1;1829.63;2;1;1;True;False;0;0;3;0;1;0
26;12;1;28;29;2;0;0;False;1;494.236;0;2;1;False;False;0;2;15;1;0;0
26;11;0;27;27;1;0;0;False;0;810.4;0;1;1;True;False;1;0;6;0;0;0
26;12;0;37;38;9;0;0;False;0;657.1160000000001;0;2;0;False;False;1;2;77;2;0;0
26;2;0;38;39;2;0;0;False;1;1607.99;0;2;1;True;True;1;6;80;2;1;0
26;11;1;26;26;1;0;0;False;0;1108.92;2;1;1;True;False;0;0;1;1;1;0
26;2;0;32;32;1;0;0;False;1;470.906;0;2;1;True;False;1;1;41;1;0;0
26;47;1;27;27;1;0;0;False;0;590.126;0;2;1;True;False;1;2;3;0;0;0
26;32;1;31;32;1;0;0;False;1;2801.98;0;2;1;False;False;0;5;34;2;1;0
26;31;0;29;31;1;0;0;False;0;1822.76;0;2;1;True;False;1;8;22;3;1;0
26;45;1;28;29;1;0;0;False;1;600.7819999999998;0;2;1;False;False;0;2;14;2;0;0
26;21;0;33;33;1;0;0;False;0;1302.29;0;1;1;True;True;1;0;47;0;1;0
26;31;0;34;35;1;0;0;False;0;1607.83;2;2;1;False;True;1;9;52;2;1;0
26;47;1;28;29;1;0;0;False;0;1337.54;3;2;1;True;False;0;4;12;2;1;0
26;18;0;31;32;2;0;0;False;0;1016.2;0;2;1;False;False;1;7;32;2;1;0
26;11;1;27;27;1;0;0;False;1;525.02;0;2;1;False;False;0;0;4;0;0;0
26;45;1;34;34;2;0;0;False;0;744.446;0;2;1;True;True;0;4;52;1;0;0
26;45;0;31;31;1;0;0;False;1;468.285;0;1;1;True;False;1;0;32;0;0;0
26;11;0;31;31;2;0;0;False;0;719.6060000000001;0;1;1;True;False;1;0;31;0;0;0
26;37;1;31;34;2;0;0;False;2;8190.98;2;2;1;True;False;0;24;31;6;3;0
26;18;0;27;28;2;0;0;False;1;870.387;0;2;1;False;False;1;7;2;2;0;0
26;45;1;28;30;1;0;0;False;2;6228.21;0;2;1;False;False;1;9;14;4;2;0
26;18;0;29;30;2;0;0;False;0;1623.73;0;2;0;False;False;2;10;17;2;1;0
26;39;1;26;26;1;0;0;False;2;5386.52;0;1;1;False;True;0;0;1;1;2;0
26;18;1;27;27;1;0;0;False;0;2364.9;0;1;1;False;False;0;0;5;0;1;0
26;34;1;27;29;3;1;0;False;0;1283.52;0;2;1;False;False;0;14;2;4;1;0
26;37;1;31;33;1;0;0;False;2;6472.0;0;2;1;False;False;0;14;36;5;3;0
26;6;1;33;33;2;0;0;False;0;8590.24;0;2;1;True;False;0;5;45;2;3;0
26;31;0;28;29;1;0;0;False;0;2971.28;2;2;1;False;False;1;6;15;2;1;0
26;45;1;26;27;1;0;0;False;1;141.347;0;2;1;False;False;0;2;1;1;0;0
26;37;0;34;35;2;0;0;False;0;1326.4;0;2;1;True;False;2;2;56;2;1;0
26;11;0;32;32;3;0;0;False;0;1964.75;0;1;1;False;False;1;0;39;0;1;0
26;11;0;40;44;1;0;0;False;0;1344.85;0;2;1;False;True;1;28;99;9;1;0
26;18;0;33;34;2;0;0;False;0;657.1160000000001;2;2;1;False;False;1;5;46;2;0;0
26;47;0;28;28;1;0;0;False;0;906.24;0;1;1;False;False;1;0;10;0;1;0
26;54;0;27;27;1;0;0;False;0;2408.15;3;1;1;True;True;1;0;4;0;1;0
26;11;1;31;33;1;0;0;False;2;12570.5;0;2;1;False;False;0;18;31;5;3;0
26;45;1;37;38;1;0;0;False;0;682.118;0;2;1;False;False;0;1;78;1;0;0
26;4;0;27;27;3;0;0;False;0;399.939;0;2;1;True;False;1;1;6;1;0;0
26;37;0;27;30;1;0;0;False;0;1453.92;2;2;1;False;False;2;18;8;5;1;0
26;37;1;31;33;2;0;0;False;1;574.2919999999998;0;2;1;True;True;0;17;33;6;0;0
26;11;1;29;31;1;0;0;False;2;3545.25;2;2;1;True;False;0;9;22;3;1;0
26;45;0;32;34;2;0;0;False;2;2148.39;2;2;1;False;True;1;14;41;4;1;0
26;32;1;31;33;2;0;0;False;2;8851.14;0;2;1;True;False;0;13;32;4;3;0
26;45;0;33;34;2;0;0;False;0;809.576;3;2;1;True;True;1;7;45;2;0;0
26;12;1;44;45;2;1;0;False;0;1488.86;0;2;1;False;False;1;8;121;2;1;0
26;45;1;29;31;1;0;0;False;0;1215.71;2;2;1;False;True;1;14;16;4;1;0
